order,batchNumber,levelName,makerName,discordName,progress,difficultyName,gameStyle,mainTheme,subTheme,briefDescription,region,clearCondition,averageClearTime,description,makerDescription,makerId,difficulty,tags,nationality,levelCode
,,,Salt Lake,SaltLakeAtrocity,100%,Super Expert,3DW,Desert,Desert,Mario jumps and stuff happens.  Ants are involved.,USA,no,Short (Average completion time < 1:30 minutes),,,,,"Themed, Buflen",,
,,,Macho Man, ,100%,Expert,NSMBU,Forest,Forest Night,Jungle level of jumping on piranha plants,Rest of the World,,Medium (Average completion time between  1:30 and 4 minutes,,,,,"Themed, Traditional",,
,,,RagnarokX,ArgorokX,75%,Expert,NSMBU,Night Airship,Airship,Save eggs from breaking,,,,,,,,"Themed, Puzzle",,
,,,Wariuzzo,,100%,Super Expert,NSMBU,Desert Night,Desert Night,Dry Bones + Wind,Europe,,Medium (Average completion time between  1:30 and 4 minutes,,,,,Themed,,
,,,KDawg,KDawg,100%,Super Expert,SMB1,Desert,Sky,"Unique music level where the music accompanies the level music already playing, along with platforming using the dry bones shell to platform off of spike balls.",USA,None,Medium (Average completion time between  1:30 and 4 minutes,,,,,Musical,,
,,,Brakkie,,75%,Super Expert,SMB1,Snow,Snow,A platforming level with blue platforms and other obstacles to make it more interesting.,Europe,,Short (Average completion time < 1:30 minutes),,,,,Buflen,,
,,,BuilderM,,75%,Easy,SMB1,Sky Night,Sky Night,"A mashup of zelda style dungeons with film noir. Lead an investigation to discover the truth behind the attack on Mr Blooper, who is doing fine and is in recovery. Level includes a mini map and features simple puzzles to guide you into finding the villian.",Rest of the World,No,Medium (Average completion time between  1:30 and 4 minutes,,,,,"Themed, Puzzle",,
,,,Com_poser,,75%,Expert,SMB1,Night Ground,Night Ground,Unbreakable Determination from Ninja Gaiden,,,,,,,,"Music, Autoscroll",,
,,,Donkeymint,Donkeymintinc,75%,Expert,SMB1,Castle,Castle,Magnetic Jumps,USA,,Medium (Average completion time between  1:30 and 4 minutes,,,,,Traditional,,
,,,DTSpies,DeathToSpies,75%,Super Expert,SMB1,Ground Night,Ground Night,"Music from Celeste, Old Site (Resurrections)",,,,,,,,"Musical, Autoscroll",,
,,,Jimzan,,100%,Normal,SMB1,Ghost House,Ghost House,Star Maze misc music level,,,,,,,,"Musical, Themed",,
,,,JulianSMM,,75%,Normal,SMB1,Ghost House,Ghost House,Manipulation of Morton´s flames. Easy puzzles showing a variety of interesting unknown mechanics,Europe,Who tf uses these,Medium (Between 2 and 4 minutes),,,,,"Themed, Puzzle",,
,,,KDawg,KDawg,100%,Super Expert,SMB1,Sky,Sky,"Music level based on Haddaway's ""What is Love?""",USA,None,Medium (Average completion time between  1:30 and 4 minutes,,,,,Musical,,
,,,Lantis,Lantis,100%,Easy,SMB1,Ground Night,Ground (Bonus Room),Companion level. ,Rest of the World,Yes,Medium (Average completion time between  1:30 and 4 minutes,,,,,"Themed, Puzzle",,
,,,Mang,derjoghurthose,100%,Expert,SMB1,Ghost House,Ghost House,"constant on/off switching makes pows on munchers on conveyors move back and forth, hide beneath saws ,also muncher walls moving back and forth, sometimes ducking ,sometimes springs.",Europe,,Medium (Average completion time between  1:30 and 4 minutes,,,,,Traditional,,
,,,Mr. Sparky,MrElectrodude,100%,Expert,SMB1,Desert,Desert,Main concept revolves around pows bouncing on spikeballs with adjusted speeds so that the pows stay on the balls for a long time (it’s also resettable with a simple slope setup),Europe,Nope,Medium (Average completion time between  1:30 and 4 minutes,,,,,Themed,,
,,,Nexar,Nexar,75%,Normal,SMB1,Ghost House Night,Ghost House Night,Crouch to see within the darkness,USA,None,Long (average etc. > 4 minutes),,,,,"Themed, Puzzle",,
,,,Ren,Ren,75%,Expert,SMB1,Castle,Castle,Looping Music from Mortal Kombat with some Boss Fights and stuff...,Europe,,Medium (Average completion time between  1:30 and 4 minutes,,,,,"Themed, Musical",,
,,,Slanteva,,100%,Expert,SMB1,Underground,Snow,"Musical Platformer, music changes through, matches the powerup of the section.",USA,,Medium (Average completion time between  1:30 and 4 minutes,,,,,"Musical, Autoscroll",,
,,,SRent,SЯeNT,100%,Expert,SMB1,Desert,Desert,Spike balls shenanigans,,,,,,,,"Themed,Gimmick",,
,,,TinoSMM,Tino in the sky,100%,Expert,SMB1,Ground Night,Ground Night,Pows jumping to the right or left by putting them on pyranhas and other enemys. Will mostly be used for platforming sections.,Europe,nope,Short (Average completion time < 1:30 minutes),,,,,Themed,,
,,,Zerdguy,,100%,Expert,SMB1,Sky Night,Sky Night,Platforming on fish bones,USA,,Long (average etc. > 4 minutes),,,,,Buflen,,
,,,Noir,Noir,100%,Expert,SMB1,Forest Night,Forest Night,All enemies except the boss are hidden under the poison swamp. Surprise attack and tricky movement.,Japan,,Long (average etc. > 4 minutes),,,,,"Themed, Autoscroll",,
,,,Noir,Noir,75%,Expert,SMB1,Sky,Sky,Switch between multiple rhythms to solve puzzles.,,,,,,,,"Themed, Puzzle",,
,,,Bossman,,50%,Super Expert,SMB3,Ghost House,,"A musical platformer of 'Septette For the Dead Princess' from Touhou EoSD. The gameplay style has not been decided yet, but may include cloud sections to emulate Touhou bullet dodging; the clear rate will likely be somewhere in the ballpark of 2-3%. The music is finished other than perhaps slight changes near the end.",USA,,Short (Average completion time < 1:30 minutes),,,,,"Musical, Autoscroll",,
,,,Donkeymint,Donkeymintinc,75%,Super Expert,SMB3,Airship Night,Airship,Cheetah speed downward autoscroller using falling blue-winged platforms.,USA,,Medium (Average completion time between  1:30 and 4 minutes,,,,,Traditional,,
,,,Pascal,Pascal,100%,Expert,SMB3,Desert,Desert,A desert level base on some contraptions with muncher and springs expecially,Europe,Of course......not,Medium (Average completion time between  1:30 and 4 minutes,,,,,"Traditional, Themed",,
,,,Lektor,LektorSandvik,100%,Expert,SMB3,Sky Night,Sky Night,Autoscroller with stuff being attached to thwomps. Action platformer. ,Europe,No,Medium (Average completion time between  1:30 and 4 minutes,,,,,"Boss battle, Autoscroll",,
,,,Nabuz,nickabuz,100%,Expert,SMB3,Desert,Desert,Player traps themselves in on/off blocks to prevent damage from pokeys on tracks. Looped music gives rhythm of on/off state changes,USA,,Medium (Average completion time between 1:30 and 4 minutes),,,,,"Themed, Musical",,
,,,Ry-bonez,Rybonez,100%,Super Expert,SMB3,Ground Night,Ground Night,Jumping on goombas,USA,,Long (average etc. > 4 minutes),,,,,Traditional,,
,,,Magatoro,Magatoro,100%,Normal,SMW,Castle,Castle,Ships composed of bill Blasters and cannons,,,,,,,,"Themed, Autoscroll",,
,,,Four Wings,Tetrapteryx,100%,Expert,SMW,Desert,Castle,"A ""find the exit"" puzzle based on the differing abilities of green and red Yoshi.",USA,None,Long (average etc. > 4 minutes),,,,,"Metroidvania, Puzzle",,
,,,Funahuxnna,Funahuxnna,100%,Super Expert,SMW,Forest Night,Forest Night ,Train ride (bullet bill blasters on conveyor) above toxic waters. Overworld with brisk pace and platforming and subworld similar but with two train cars.,Europe,Prolly not,Long (average etc. > 4 minutes),,,,,"Autoscroll, Buflen",,
,,,Matrix,Neil #0627,75%,Super Expert,SMW,Sky,Sky,Run and jump off of munchers using the star powerup!,USA,,Medium (Average completion time between  1:30 and 4 minutes,,,,,"Autoscroll, Buflen",,
,,,MegaTefyt,,100%,Super Expert,SMW,Desert,Underground,Platforming level with different types of platforms on tracks,Europe,,Medium (Average completion time between  1:30 and 4 minutes,,,,,Buflen,,
,,,Pro Lotus,progressivelotus,50%,Super Expert,SMW,Forest Night,Forest Night,platforming based around cannons and platforms in unquie ways. ,,,,,,,,Themed,,
,,,Quixotic Neutral,,100%,Expert,SMW,Castle,Castle,Lava garden — Dry Bones Shell + spike balls generate partial vines and transform munchers into piranha plants,USA,,Medium (Average completion time between  1:30 and 4 minutes,,,,,"Themed, Autoscroll",,
,,,The Col,The_Col (at_c),75%,Expert,SMW,Castle,Castle,"Musical level inspired by Metroid atmospheres: Magmoor caverns/Norphair theme, with a vertical rising section based upon Ridley's theme, if I learn how to do music on vertical levels using rails.",Europe,,Medium (Average completion time between  1:30 and 4 minutes,,,,,Musical,,
,,,Travis,throw#6071,75%,Super Expert,SMW,Underground,Underground,"p switch run type level, completely vertical. theme is big thwomps breaking cement to keep you moving, spinning on pirannahs, block spinning, back and forth action as you go higher",Rest of the World,no,Short (Average completion time < 1:30 minutes),,,,,Buflen,,
,,,Twirler,twirler,75%,Super Expert,SMW,Desert,Snow,Snowballs manipulating,Rest of the World,No Clear Condition,Short (Average completion time < 1:30 minutes),,,,,Buflen,,
,,,Zurfink,,100%,Normal,SMW,Ghost House,Ghost House,The level is focused on platforming using custom auto-scroll.,Europe,,Medium (Average completion time between  1:30 and 4 minutes,,,,,"Buflen, Autoscroll",,
,,,Keine,Keine,100%,Super Expert,SMW,Castle,Forest,Reproduction of SMW's traditional Layer 2 gimmick. Skewer or similar thing. Collect about 6 pink coins in each section. Imagine Rom hack.,Japan,,Long (average etc. > 4 minutes),,,,,"Themed, Gimmick",,
