order,batchNumber,levelName,makerName,discordName,progress,difficultyName,gameStyle,mainTheme,subTheme,briefDescription,region,clearCondition,averageClearTime,description,makerDescription,makerId,difficulty,tags,nationality,levelCode
13,2,Lemmy’s Lost His Marbles!,Mini Barf,,100%,Normal,SMB3,Ghost House,Ghost House,Pure madness based on Lemmy!,,,Medium (Average completion time between 1:30 and 4 minutes,"A puzzle course based around visual illusions where the player must help Lemmy vanquish his inner demons, or risk joining him on his slow descent into madness.","Mini Barf is a maker from Canada, a mostly uninhabitable tundra which legends say is located north of the United States.  Mini Barf only purchased a Switch in May 2020, but plans to very quickly lock down the untapped market of Quest 64 tribute courses.",VYJ-XXG-Q6G,4,"Themed,Puzzle",CA,SN7-4KX-42H
14,2,Bounce Galore,Space Pig,,100%,Super Expert,SMB3,Castle,Castle,Bounce level with max or min jumps only. Pretty similar to my other bounce levels but with some different setups. Still not finished,USA,,Short (Average completion time < 1:30 minutes),Bounce Galore is a fun kaizo lite bounce level that uses stacked thwomps along with buzzy beetles to create interesting fast paced setups that are visually appealing and will make everything magically line up!,"Space Pig has been around the Mario Maker scene for a while creating technical kaizo levels. His favorite kind of levels include lots of shells. He created Team Shell and streams on Twitch. Nobody thought it was possible, but it is said that he defeated jank in an epic battle that will go down in history.",0V7-DLS-BMF,6,Action,US,GMH-FD5-5LF
15,2,Super Bumper Jumper,Mang,derjoghurthose,100%,Expert,SMB3,Sky,Sky,Momentum-Controlling gimmick,Europe,,Medium (Average completion time between  1:30 and 4 minutes,"You try to get close to Mr Bumper, but he rejects you and throws you away. You’re a sad Jumper now.",Mang is Mang.,SV5-0FW-3MG,5,Themed,DE,GRH-SSJ-CKF
16,2,Battling the Broodalings,Cardboard,CardboardBox,100%,Expert,NSMBU,Ground Night,Ground Night,Music level with Broodal and RoboBrood battle themes from SMO in main & sub worlds respectively. Gameplay is bullet-hell & boss fights.,,,,"Dodge spells, fire and enemies in two intense boss battles against Koopalings masquerading as the Broodals. Try to grab the bonus pink coins too if you’re looking for an extra challenge! Features custom music from Super Mario Odyssey.","Cardboard is a Canadian musician turned programmer. While his first Mario game was SM64, he fell in love with SMB1 when he got an NES at a garage sale, largely replacing his N64 and PS2. He started playing SMM1 in 2018 and quickly started making music levels. He bought a switch as soon as SMM2 came out, and has continued to make music levels since.",D4H-K9T-KPG,6,"Themed,Musical",CA,VHN-6Q5-1HF
17,3,Freefall Fortress,Donkeymint,Donkeymintinc,100%,Super Expert,SMB3,Airship Night,Airship,Cheetah speed downward autoscroller using falling blue-winged platforms.,USA,,Medium (Average completion time between  1:30 and 4 minutes,"Plumbers plummet from precarious perches, perchance to be pit against a perilous…uh... Boom Boom.",Donkeymint has enjoyed finding unique concepts and mechanics in Mario Maker and expanding them out into fun platforming levels since Super Mario Maker 1. He still thinks it’s awesome that anyone can make their own Mario levels.,VCK-808-4TF,7,Traditional,US,049-08P-2VG
18,3,Ra the Sun God,KDawg,KDawg,100%,Super Expert,SMB1,Desert,Sky,"Unique music level where the music accompanies the level music already playing, along with platforming using the dry bones shell to platform off of spike balls.",USA,None,Medium (Average completion time between  1:30 and 4 minutes,Play well and Ra will shine upon you. He has the key to life.,Kdawg participated in 3YMM and is looking forward to this year. Enjoys making musical platforming levels. Grew up during the 80s so has lots of great music to make into levels.,90L-YNS-KLG,6,Musical,US,G54-3V8-HSG
19,3,Prancing Pow Playground,TinoSMM,Tino in the sky,100%,Expert,SMB1,Ground Night,Ground Night,Pows jumping to the right or left by putting them on pyranhas and other enemys. Will mostly be used for platforming sections.,Europe,nope,Short (Average completion time < 1:30 minutes),"Watch some of the strange properties of pows as they bounce off piranha plants and other objects to the left or right. In this level, you can use them as moving platforms and in many other ways while they carry you through the ruins of the pow palace. Make use of these pows to platform your way to the goal!","Tino is a 16-year-old maker from Germany who has been a fan of the game ever since Mario Maker 1. Like many other people, he was really hyped for Mario Maker 2 and preordered the game, and has since then built up a huge passion for it, allowing him to greatly improve his maker skills and establish contacts with many great people in the Mario Maker community. He considers himself an ""all-arounder"" who is able to build almost any kind of level and makes sure they are fully polished unlike the garbage he made in Mario Maker 1.",GFH-TQJ-NSG,6,Themed,DE,BKR-HCK-4QG
20,3,The Lost Ancient Skewer,Keine,Keine,100%,Super Expert,SMW,Castle,Forest,Reproduction of SMW's traditional Layer 2 gimmick. Skewer or similar thing. Collect about 6 pink coins in each section. Imagine Rom hack.,Japan,,Long (average etc. > 4 minutes),I'll show you the true SMW skewers! A skewer without crushing is not a skewer!,"Keine is from Japan. They grew up watching Super Mario World rom hacks, and were fascinated by the usage of layer 2 functions such as skewers. There are many other things that Super Mario Maker does not have, so they continue to make levels to try and reproduce Super Mario World gimmicks, especially the original skewer.",TN8-1JK-60H,7,"Themed, Gimmick",JP,JD3-RCN-4CG
21,3,No Paddle Pond,Paxsman,,100%,Expert,3DW,Underwater,Underwater,The level is a series of underwater challenges where pushing jump prevents the room from being finished.,USA,,Medium (Average completion time between  1:30 and 4 minutes,These sunken skipsqueaks really hate it when you paddle in their pond! Platform without hitting jump to navigate these squeaky waters.,Pax’s first creative passion was building Thomas the Tank Engine tracks (They even named a train after him). Now he spends his time building Mario levels in hopes of one day becoming a D-list Mario celebrity.,S2W-5WH-JLG,5,"Puzzle, Themed",US,6RT-48D-XQG
22,3,Ice Cold Ice,Brakkie,,100%,Super Expert,SMB1,Snow,Snow,A platforming level with blue platforms and other obstacles to make it more interesting.,Europe,,Short (Average completion time < 1:30 minutes),"Very simple platforming level in SMB1 style with Thwomps, Goombas, Goombrats and a lot of blue platforms.",Brakkie is a 19 year old maker from Germany who usually makes levels with blue platforms and a lot of aesthetics.,7KY-8KW-L9G,6,Action,DE,4X8-NC2-77G
23,3,Castle in the Sky,Birdhare,,100%,Expert,SMB3,Sky,Sky,An adventure level combining a more traditional level that rewards exploration with a moving platform section that keeps adding options to pass oncoming obsacles. Explore the castle in the sky and find the treasure within.,Europe,,Medium (Average completion time between  1:30 and 4 minutes,"In an empire thought to be lost for eternity many have hunted for a mystical treasure. Some have made it out alive, but the treasure has never been found. Collecting all the hidden coins might open an ancient gate, but in these dangerous lands surviving is the main objective.","Birdhare is a UX designer from Amsterdam, focusing on levels that use unique mechanics to create challenges that are beatable by anyone. He’s also the designer of the 4YMM website!",JJD-1Y6-WLF,4,"Traditional, Themed",NL,DX6-4TM-2RF
24,3,We're the Robots,The Col,The_Col (at_c),100%,Expert,SMW,Castle,Castle,"Musical level inspired by Metroid atmospheres: Magmoor caverns/Norphair theme, with a vertical rising section based upon Ridley's theme, if I learn how to do music on vertical levels using rails.",Europe,,Medium (Average completion time between  1:30 and 4 minutes,"This level recreates the most famous track from Mega Man 9, one of the best iterations of the franchise. Catchy music, fast paced platforming based on mechakoopas, and Ludwig cosplaying as Dr. Wily trying to stop you in many different ways are the main ingredients of this level.","The_Col is an italian 30 years old Mario lover who enjoys Mario games in every possible form. Speedruns, SMW kaizo, Mario Kart, chill playthrough… and Mario Maker of course! He finally found a level style he enjoys and he seems to be decent at in music levels. Ever since his childhood, he loved to transpose every existing videogame music on piano/guitar/flute/whatever instrument, and the passion for fast paced levels makes cheetah music autoscrollers a perfect fit. Last but not least, he loves Mudkips quite a bit.",J6F-6QQ-BLG,6,Musical,IT,GMW-WNF-2HG
25,4,Displacement Activity,Exonym,,100%,Expert,SMB1,Ghost House,Ghost House,Utilizes smb2 shroom powerup to do some cool mini puzzles. Aiming for normal difficulty but some of the jumps will undoubtedly make the level expert just because.,,,Long (average etc. > 4 minutes),"Using the wonderful new Super Mario Bros. 2 powerup, take hold of items and enemies you wouldn’t normally be able to and make your way through this exciting light-puzzle adventure!","Exonym is kind of a reserved Mario Maker creator, only creating levels when he finds something he thinks is interesting and unique enough to call his own. He is keen on quality over quantity and looks to find the most unique setups while still keeping his levels simple and clean to ensure that the player doesn’t ever get confused.",LTX-H9F-BHG,4,"Themed, Puzzle",US,FBM-39Q-Y4G
26,4,The Power-Up Mash-Up,Slanteva,,100%,Expert,SMB1,Underground,Snow,"Musical Platformer, music changes through, matches the powerup of the section.",USA,,Medium (Average completion time between  1:30 and 4 minutes,"Show off your platforming while managing a diverse set of powerups, each accompanied by related music. Then end it off by using all the powerups to survive an onslaught of attacks. Bonus points for recognizing all the tunes.","Slanteva is a Canadian maker initially hooked by Carlsagan42’s level design contests. Since then, he’s tried his hand at platformers, puzzles, trolls, gimmicks, and everything in between. Most of all, he loves making music levels, pairing his very basic music theory knowledge with his enjoyment of level design.",NB4-RHC-RBG,5,"Musical, Autoscroll",CA,C9P-L0W-L2G
27,4,Uninvited Picnic Guests,Salt Lake,SaltLakeAtrocity,100%,Super Expert,3DW,Desert,Desert,Mario jumps and stuff happens.  Ants are involved.,USA,no,Short (Average completion time < 1:30 minutes),"The ants’ big picnic is exciting, but did you have to invite yourself? Now they’re giving you awkward looks and whispering behind your back. Did you just stick your appendage in the potato salad? How disgusting. Are you really crawling all over the drink cooler right in front of everyone? That’s just great. Hopefully you have the self-awareness to see yourself out before this picnic is completely ruined.","Salt Lake is a landlocked body of water with an abnormally high concentration of sodium chloride. When Salt Lake isn’t busy finding stuff for Mario to jump on, or busy being too saline to support most aquatic lifeforms, he’s likely doing Soulsborne or Pokemon challenge runs, finding obscure indie films to watch, or researching salt lakes so he can write paragraphs about himself.",4X3-DFP-MBG,8,"Themed, Action",US,9DT-FMK-BHF
28,4,Wildflower,Lantis,Lantis,100%,Easy,SMB1,Ground Night,Ground (Bonus Room),Companion level. ,Rest of the World,Yes,Medium (Average completion time between  1:30 and 4 minutes,"This is a story of friendship between Mario and Fire Flower that will not only warm your heart, but will make you realize how much of an impact your actions can have on others and on the world. It is easier to succeed when Mario and Fire Flower work together to share the load, and remove all obstacles.","Lantis is an engineer, web designer, layout artist, and entrepreneur from the Philippines. He likes making kid friendly levels and levels that can be played by all people.",2M7-6LY-RWG,2,"Themed, Puzzle",PH,907-9LG-YVG
29,4,Muncherous Temple,Pascal,Pascal,100%,Expert,SMB3,Desert,Desert,A desert level base on some contraptions with muncher and springs expecially,Europe,Of course......not,Of course......not,Make your way through the muncherous sphinx temple and make sure not to get “munched” on your way. It’s a fun and challenging traditional level based on muncher and spring mechanics.,"Pascal is a 23 years old student living in the southwest of Germany that loves to make not too hard traditional levels. His passion for Nintendo came as the Gamecube got released. He played The Legend of Zelda: Twilight Princess, Wind Waker or Super Mario Sunshine almost every day. When Mario Maker came out in 2015 he didn't even have a Wii U, but playing levels at a friend's house after school convinced him to buy one at the end of 2016.",69C-KCB-PNG,6,"Traditional, Themed",DE,CHL-MQP-WJF
30,4,Master of the Rhythms,Noir,Noir,100%,Expert,SMB1,Sky,Sky,Switch between multiple rhythms to solve puzzles.,,,,Solve the puzzle by changing the rhythm!,"Noir likes everything fashion and interior design. Although her strong point in Mario Maker is drawing realistic pixel art, she strives to deliver courses that combine beautiful visuals with a good story, great direction and fun gimmicks.",8L3-F6D-CVF,6,"Themed, Puzzle",JP,RPG-94Q-J6G
31,4,The Hole in the Wall,Travis,throw#6071,100%,Super Expert,SMW,Underground,Underground,"p switch run type level, completely vertical. theme is big thwomps breaking cement to keep you moving, spinning on pirannahs, block spinning, back and forth action as you go higher",Rest of the World,no,Short (Average completion time < 1:30 minutes),Escape from the chaotic cave before the P-Switch timers run out!,"Travis is a people person, results driven, and an excellent communicat- oh sorry, this isn't a resume.",42X-K2H-XPF,7,Action,CA,WHB-M14-8QG
32,4,Mortal Koopas,Ren,Ren,100%,Expert,SMB1,Castle,Castle,Looping Music from Mortal Kombat with some Boss Fights and stuff...,Europe,,Medium (Average completion time between  1:30 and 4 minutes,"We got a guy with things coming’ out of his hands, we got another guy who freezes stuff, and then there’s a man, who as far as I can tell, is made out of electricity. I mean, how did he disappear like that? What is going’ on here? WHAT IS THIS LEVEL?","Ren aka Acousticake is a 31 year old Creator from Germany who likes to add music to all kinds of levels. Platforming Music Levels, Music Puzzle Levels... He even puts music in his Music Levels! Ren bought Mario Maker in October 2017 and since then he has been addicted to it. Besides Mario Maker, Ren likes to play the Guitar and listen to music.",888-D5Y-NQG,7,"Themed, Musical",DE,Y2T-XLV-YDF
33,5,Bonestorm,Wariuzzo,,100%,Super Expert,NSMBU,Desert Night,Desert Night,Dry Bones + Wind,Europe,,Medium (Average completion time between  1:30 and 4 minutes,"During this sandstorm, the wind is your only hope to carry your bones safely through the desert. Time your fake death correctly and maybe you'll come out of this!","Wariuzzo is an Italian guy who likes to play video games, in particular the platformer genre. In Mario Maker he loves to craft challenging levels that evolve around a concept or an unexplored mechanic, making them enjoyable for all types of player.",X41-LQ0-QNG,7,Themed,IT,7RF-4KC-DHG
34,5,Tumbleweed Rider,Mr Sparky,MrElectrodude,100%,Expert,SMB1,Desert,Desert,Main concept revolves around pows bouncing on spikeballs with adjusted speeds so that the pows stay on the balls for a long time (it’s also resettable with a simple slope setup),Europe,Nope,Medium (Average completion time between  1:30 and 4 minutes,"While wandering in the desert, Mario stumbles across an ancient temple. He tries to go inside but… oh dear. He seems to have gotten himself stuck on a small but POW-erful platform, and now he has to dodge countless obstacles if he wants to have any chance at escaping this deadly temple.","MrElectrodude (or Mr E for short) is an 19-year old dutch computer science student who enjoys making several types of levels, usually with out-of-the-box and often weird gimmicks. He also likes making kaizos and bullet hell levels. ",G11-K69-LGG,6,Themed,NL,HCK-SNW-3KF
35,5,Petey’s Pyroponic Garden,QuixoticN,,100%,Expert,SMW,Castle,Castle,Lava garden — Dry Bones Shell + spike balls generate partial vines and transform munchers into piranha plants,USA,,Medium (Average completion time between  1:30 and 4 minutes,"Petey Piranha, having secured a lucrative contract with Bowser as an arms manufacturer, has repurposed a section of the castle grounds as his R&D laboratory. His assignment is to reverse-engineer and mass-produce his own cultivar of one of Mario's most treasured secret weapons, the Fire Flower. But irrigating plants with a reservoir of magma is producing unexpected results, and now Mario has come to claim all the control specimens in Petey's stash...","QuixoticN is a writer and jazz pianist who reads Shakespeare to his fellow Mario makers to compensate for repeatedly botching their required shell jumps. Since reluctantly suppressing his ideological fervour for humongous marathon levels with no checkpoints, his creations have aimed to deliver clean and spacious layouts full of unconventional interactions, powered by off-screen mechanisms that take aeons longer to debug than construct. With a life in games that began with SMB1, but which always ran along a parallel track of builder extravaganzas from Lode Runner to Warcraft III and beyond, he sees Mario Maker as a terminus, a Gesamtkunstwerk, an end of history.",KD8-8WM-9MG,6,"Themed, Autoscroll",CA,C30-MMG-WXF
36,5,Donkey Kongcert,Cupcake,cupcake,100%,Normal,SMB1,Forest,Forest,DKC Multi-music level,,,,"You find yourself in various sections with music loops one might recognise from the Donkey Kong platforming games. Beat all of these and you will get access to the legendary golden banana. If you pay enough attention, you can even find Donkey Kong with a cake!","Cupcake has owned SMM1 and SMM2 since the release. Despite his levels being garbage in SMM1, he improved his making skills a lot in SMM2. When finding out that creating music loops with noteblocks on tracks is possible, he knew that this is what he is gonna focus on. Over time he improved and became better.",GTY-5X9-XWF,4,"Themed, Musical",DE,9G4-L79-BWF
37,5,The Yoshi Not Ridden,Four Wings,Tetrapteryx,100%,Expert,SMW,Desert,Castle,"A ""find the exit"" puzzle based on the differing abilities of green and red Yoshi.",USA,None,Long (average etc. > 4 minutes),"Two Yoshis hatched on a Switch's screen,
And sorry I could not ride them both,
I briefly paused and took in the scene
Then chose the Yoshi whose hide was green,
And left the red with a solemn oath:

That I shall travel and then return
To ride the fiery one as well,
For it was anxious to have its turn
And use its power to breathe and burn,
But could not swallow a koopa shell,

And both that morning equally lay
In eggs that opened as I drew near.
Oh, lament the one that I sent away!
For in its eyes I could see dismay,
And loneliness was its greatest fear.

A plumber's promise is not a lie,
As indecision becomes remorse:
Two Yoshis hatched on a Switch, and I—
I'll surely give them both a try,
And that is how I shall clear the course.

","Four Wings, also known as Tetrapteryx or Jon, is an American science writer. In the original Super Mario Maker he was known for making large, intricate puzzle levels. He hasn't had the time and motivation to be as active in SMM2, but he likes this community too much to stop making levels entirely. He also sometimes writes poetry about science topics, or to accompany his SMM levels.",8NS-PTQ-QWF,8,Puzzle,US,9BS-KK5-DRF
38,5,Toxic Bullet Blaster Road,Fabio,SMM_Fabio,100%,Super Expert,SMB1,Forest Night,Forest Night,Gimmicky platform level with bullet blasters.,Europe,no clear condition,Medium (Average completion time between  1:30 and 4 minutes,It is midnight. Mario enters a mysterious toxic lake with a magical road of bullet blasters. There are many dangers and obstacles lurking on his way. Will he get through this gimmicky platforming madness and defeat the Iggy Twins?,"Fabio is a 18 year old Maker, born in Germany with Italian roots. He started playing video games (especially Nintendo Games) when he was 4 years old. He grew up with the GameCube. Regarding Mario Maker, he built many gimmicky levels. These days, he's focusing more on traditional levels.",LMW-66S-0SG,5,"Themed, Gimmick",DE,MR0-FD9-DDF
39,5,Goodnight Goombas,Ry-bonez,Rybonez,100%,Super Expert,SMB3,Ground Night,Ground Night,Jumping on goombas,USA,,Long (average etc. > 4 minutes),Hop through the twilight at the expense of slumbering goomba lives. A fun and challenging platformer based on floating goomba mechanics.,"Rybonez has been a die-hard Mario fan ever since having played SMB3 on the NES decades ago, and has been playing and building levels since the drop of SMM1. More recently, after having found the Mario Maker community on Twitch and with some criticism and guidance, the quality of his levels has improved substantially. Building primarily super expert platforming levels with light puzzle elements (and sometimes a bit of precision) Rybonez's main focus is creating levels that are enjoyable and satisfying for players that already know and understand the game.",B14-8HN-D8G,5,Traditional,US,5V1-PH5-TFG
40,5,Unbreakable Determination,com_poser,,100%,Expert,SMB1,Night Ground,Night Ground,Unbreakable Determination from Ninja Gaiden,,,,"Mario is asleep, dreaming that he’s the legendary shadow warrior wielding the Ninja Dragon Sword. Unfortunately, his dreams don’t allow him to pretend to be anything that isn’t part of Nintendo’s IP and so he’s forced to wear an ill-fitting Link costume. Help wake Mario up so that he can convince his uncle, who works at Nintendo, to include Ryu Hayabusa in Smash 5.","Com_poser is an IRL composer and poser. You probably already know more about him than you’d care to, but if you’d like to know more, head on over to twitch where he’s more than likely talking about himself right now.",DX3-W09-JDF,6,"Music, Autoscroll",US,3K5-34S-7RG
41,6,The Great Egg Robbery,RagnarokX,ArgorokX,100%,Expert,NSMBU,Night Airship,Airship,Save eggs from breaking,,,,The yoshis' hatching ceremony is ruined when Ludwig swoops in and snatches the egg. Give chase and rescue the other stolen eggs before taking the thief to task. Save the egg in the end or the yolk’s on you.,RagnarokX is a 35 year old therapist who has been gaming for as long as he can remember. In Mario Maker he prefers working in the underrated NSMBU style and making complex contraptions.,V1L-57R-NGF,6,"Themed, Puzzle",US,H7P-59K-J0H
42,6,Dead Space,Zerdguyyy,,100%,Expert,SMB1,Sky Night,Sky Night,Platforming on fish bones,USA,,Long (average etc. > 4 minutes),"Strange things lurk in the far reaches of space. Some talk of celestial fish, eternally swimming amongst the stars. Others tell a more gruesome tale, claiming to have seen fallen comrades revitalized as shambling undead. As usual, prospective adventurers will find that the truth lies somewhere in between.","Zerdguyyy grew up playing New Super Mario Bros on the DS, and eventually Mario Maker 1 on the 3DS. Now that they’ve got their hands on Mario Maker 2, they can do exciting new things like put levels online and have people play them, which has drastically increased their quality.",X83-039-PMF,5,Action,US,3F1-2NL-GNF
